Household_ID,State,No_of_Residents,No_of_Appliances,AC_Units,Has_Solar,Monthly_Income,Region,Year,Monthly_Electricity_kWh
4075,Tamil Nadu,4,23,1,0,55958,Urban,2016,633.03
4076,Uttar Pradesh,7,28,0,0,123915,Urban,2016,510.64
4077,Gujarat,9,29,0,0,82735,Rural,2020,647.89
4078,West Bengal,8,12,1,1,106620,Urban,2020,528.58
4079,Tamil Nadu,3,10,1,0,39940,Urban,2020,380.67
4080,Maharashtra,8,20,1,0,62061,Rural,2015,615.0
4081,West Bengal,3,7,2,0,124103,Urban,2020,486.95
4082,Delhi,9,12,1,0,96637,Urban,2022,507.56
4083,West Bengal,6,9,0,1,124479,Urban,2018,265.42
4084,Maharashtra,8,9,1,0,122823,Rural,2022,473.79
4085,Maharashtra,9,16,2,0,52382,Rural,2017,717.76
4086,Punjab,4,29,1,0,90042,Rural,2020,613.7
4087,Uttar Pradesh,4,5,2,0,102719,Urban,2023,517.12
4088,Uttar Pradesh,7,11,2,0,48996,Urban,2015,745.69
4089,Tamil Nadu,4,28,0,0,142109,Urban,2018,444.17
4090,Gujarat,7,15,1,0,53352,Urban,2016,566.05
4091,Tamil Nadu,9,14,2,0,29886,Urban,2022,815.16
4092,Karnataka,4,7,1,0,62254,Urban,2019,355.47
4093,Maharashtra,5,12,2,0,86539,Urban,2019,651.04
4094,West Bengal,2,5,0,0,94904,Rural,2018,116.62
4095,Delhi,9,12,0,0,24698,Rural,2020,389.67
4096,Maharashtra,4,27,1,0,101792,Urban,2022,646.97
4097,Maharashtra,2,24,1,0,103125,Rural,2017,491.84
4098,Tamil Nadu,3,15,1,0,41311,Urban,2019,441.55
4099,Delhi,6,11,1,0,149470,Rural,2023,430.61
4100,Delhi,8,20,1,1,58753,Urban,2020,589.85
4101,Delhi,8,11,2,0,85362,Urban,2018,729.84
4102,Tamil Nadu,9,17,1,0,89904,Urban,2023,613.54
4103,Maharashtra,3,14,2,0,20426,Urban,2017,587.93
4104,Tamil Nadu,4,21,2,0,145007,Urban,2015,735.57
4105,Uttar Pradesh,8,7,2,1,85857,Rural,2023,517.45
4106,Uttar Pradesh,7,11,1,1,132372,Urban,2018,389.67
4107,Tamil Nadu,3,15,0,1,65126,Urban,2017,173.17
4108,Delhi,5,17,0,0,45053,Urban,2019,420.53
4109,Punjab,2,9,1,1,117903,Urban,2016,242.21
4110,Maharashtra,7,29,1,0,137088,Urban,2018,645.78
4111,Tamil Nadu,8,27,1,0,55717,Urban,2015,769.87
4112,Tamil Nadu,7,23,2,0,134728,Rural,2016,757.99
4113,Tamil Nadu,4,19,0,0,118666,Rural,2022,322.75
4114,Punjab,5,5,0,0,65832,Rural,2022,242.02
4115,Punjab,2,9,0,0,123731,Urban,2023,121.53
4116,Karnataka,5,17,0,0,52037,Rural,2017,388.96
4117,Uttar Pradesh,3,14,2,1,72775,Rural,2017,411.65
4118,West Bengal,4,9,1,0,26325,Urban,2021,349.06
4119,Delhi,7,27,2,0,40743,Urban,2017,936.54
4120,Gujarat,7,5,1,0,58387,Urban,2022,464.29
4121,Punjab,3,14,1,0,146306,Urban,2016,490.7
4122,West Bengal,7,22,0,0,79053,Urban,2019,416.41
4123,Punjab,6,26,0,0,80696,Urban,2018,537.61
4124,Delhi,4,12,1,0,111884,Rural,2018,270.24
4125,Gujarat,3,24,1,0,55058,Urban,2016,530.69
4126,Karnataka,4,7,0,0,118965,Urban,2015,299.12
4127,Tamil Nadu,2,23,0,0,60574,Urban,2019,340.99
4128,Karnataka,4,23,0,0,126804,Urban,2017,426.93
4129,Punjab,4,6,0,0,70862,Urban,2017,205.48
4130,Karnataka,2,21,0,0,140762,Rural,2018,275.57
4131,West Bengal,3,20,2,0,136945,Rural,2019,512.17
4132,Maharashtra,4,25,2,0,100419,Urban,2022,661.92
4133,Punjab,5,14,2,0,124729,Urban,2019,627.28
4134,Punjab,4,25,0,1,118901,Urban,2022,329.98
4135,West Bengal,3,20,1,0,16464,Urban,2016,391.19
4136,Uttar Pradesh,9,9,1,0,117123,Urban,2018,618.61
4137,Gujarat,7,24,0,0,48112,Urban,2022,502.49
4138,Tamil Nadu,8,7,2,0,66450,Rural,2016,592.03
4139,West Bengal,2,7,1,0,18700,Urban,2015,394.8
4140,Gujarat,7,6,0,0,135376,Rural,2021,270.42
4141,Delhi,3,25,2,0,89049,Urban,2015,712.01
4142,Gujarat,6,8,2,1,21992,Urban,2022,500.69
4143,Delhi,8,26,2,0,42624,Rural,2021,731.4
4144,West Bengal,7,22,2,0,136850,Urban,2018,744.59
4145,Punjab,4,6,2,0,51659,Urban,2018,549.0
4146,Punjab,8,28,2,0,102402,Urban,2022,880.87
4147,Uttar Pradesh,4,10,2,0,102600,Urban,2018,514.78
4148,West Bengal,2,7,2,0,101550,Rural,2023,435.15
4149,Delhi,4,25,2,0,93847,Urban,2018,703.45
4150,Gujarat,8,7,2,0,68396,Urban,2020,814.9
4151,Gujarat,5,6,0,1,149408,Rural,2021,129.72
4152,Delhi,5,7,1,0,88926,Urban,2021,404.32
4153,Karnataka,9,21,0,0,26345,Rural,2019,525.4
4154,Uttar Pradesh,7,18,1,1,95600,Rural,2021,439.25
4155,Maharashtra,3,11,0,0,91111,Urban,2022,230.56
4156,Punjab,9,26,1,0,25732,Urban,2018,656.39
4157,Tamil Nadu,2,25,1,0,119484,Urban,2018,481.89
4158,Gujarat,6,10,1,0,33546,Urban,2016,476.49
4159,Tamil Nadu,9,12,0,1,28316,Rural,2016,280.47
4160,Maharashtra,7,23,1,1,17496,Urban,2022,632.0
4161,West Bengal,3,23,2,0,144904,Urban,2023,709.23
4162,Tamil Nadu,2,16,1,0,24513,Urban,2023,482.75
4163,Maharashtra,8,9,0,0,79899,Rural,2017,352.16
4164,Punjab,2,9,0,0,137627,Urban,2015,206.22
4165,Delhi,8,18,2,1,143236,Rural,2016,636.32
4166,Karnataka,7,21,1,0,148452,Rural,2022,555.03
4167,Punjab,3,20,0,0,30970,Urban,2017,334.77
4168,Gujarat,9,8,1,0,75266,Rural,2016,582.33
4169,Maharashtra,3,29,2,0,86569,Rural,2018,645.73
4170,Tamil Nadu,4,12,2,0,110347,Urban,2019,551.77
4171,Gujarat,6,7,0,0,97865,Urban,2016,296.87
4172,Karnataka,5,25,1,1,116066,Urban,2017,450.53
4173,Delhi,4,9,2,0,82340,Urban,2020,581.88
4174,West Bengal,2,27,2,0,31870,Rural,2015,643.0
4175,Gujarat,6,28,0,0,99849,Urban,2016,574.68
4176,West Bengal,6,29,2,0,36652,Urban,2021,855.78
4177,Maharashtra,3,11,0,0,103507,Urban,2016,249.67
4178,Karnataka,6,22,2,0,43103,Urban,2019,753.71
4179,Tamil Nadu,7,28,2,0,84736,Urban,2018,873.2
4180,Karnataka,6,12,0,0,17843,Urban,2015,323.95
4181,Karnataka,2,15,0,0,117638,Urban,2019,185.72
4182,Uttar Pradesh,7,18,1,1,118021,Rural,2018,413.17
4183,Karnataka,7,22,2,1,69839,Urban,2022,607.8
4184,Karnataka,4,17,1,0,41881,Urban,2016,464.11
4185,Punjab,6,10,1,0,65257,Rural,2019,338.02
4186,Gujarat,3,17,0,0,128982,Urban,2023,262.99
4187,Tamil Nadu,8,5,2,0,21141,Urban,2023,669.51
4188,Punjab,4,15,0,0,70233,Urban,2017,294.78
4189,Punjab,3,11,2,0,83972,Rural,2018,565.08
4190,Gujarat,6,14,0,0,122291,Urban,2015,366.67
4191,Gujarat,4,6,2,0,94915,Rural,2016,510.19
4192,Maharashtra,6,20,1,0,91664,Rural,2020,647.68
4193,Gujarat,2,9,2,0,108627,Rural,2023,382.66
4194,Uttar Pradesh,4,20,2,0,88108,Urban,2020,598.22
4195,Uttar Pradesh,3,27,0,0,58475,Rural,2015,325.2
4196,Punjab,2,20,2,0,111737,Rural,2019,495.44
4197,West Bengal,5,19,2,0,143365,Rural,2018,660.27
4198,Maharashtra,3,13,2,0,71757,Urban,2020,520.15
4199,West Bengal,8,5,2,0,113470,Urban,2018,648.35
4200,West Bengal,9,13,1,0,119603,Urban,2022,594.24
4201,Punjab,6,15,0,1,119230,Urban,2022,358.77
4202,Delhi,3,9,2,0,19935,Rural,2021,458.62
4203,Punjab,5,10,0,0,43987,Urban,2016,259.86
4204,Tamil Nadu,3,12,1,0,16822,Rural,2022,396.46
4205,Tamil Nadu,2,19,1,0,32030,Urban,2016,512.57
4206,Gujarat,7,20,2,1,76430,Urban,2015,737.5
4207,Gujarat,9,22,0,0,131018,Urban,2023,569.97
4208,Delhi,3,16,0,0,49371,Urban,2019,346.92
4209,Gujarat,4,27,0,0,91608,Urban,2020,459.54
4210,Tamil Nadu,8,8,1,0,98370,Urban,2015,527.51
4211,West Bengal,5,29,1,0,67140,Urban,2015,711.41
4212,Punjab,3,26,2,0,16104,Rural,2022,739.56
4213,Karnataka,5,20,0,0,86709,Rural,2019,333.38
4214,Uttar Pradesh,7,27,0,0,15839,Rural,2016,464.57
4215,Karnataka,2,15,1,0,117770,Rural,2021,399.69
4216,Karnataka,4,26,2,0,53137,Rural,2015,703.44
4217,Tamil Nadu,6,28,2,0,62057,Urban,2018,897.49
4218,Karnataka,3,26,2,0,113327,Rural,2015,672.01
4219,Punjab,2,11,1,0,42987,Urban,2022,398.76
4220,Delhi,9,28,0,0,39435,Urban,2019,520.74
4221,Maharashtra,5,19,2,0,71747,Urban,2016,669.4
4222,Gujarat,7,21,2,1,80420,Urban,2018,714.32
4223,Maharashtra,8,19,0,1,128444,Urban,2016,354.49
4224,West Bengal,5,14,2,0,67498,Urban,2022,671.47
4225,Punjab,8,8,1,0,43579,Rural,2020,426.65
4226,Punjab,7,26,2,1,95801,Urban,2023,712.46
4227,Uttar Pradesh,8,21,0,0,73503,Urban,2020,589.46
4228,Punjab,7,8,1,0,149381,Rural,2016,411.97
4229,Gujarat,2,26,2,0,52891,Urban,2017,659.99
4230,Punjab,3,27,0,0,58719,Rural,2016,424.72
4231,Karnataka,6,26,0,1,36544,Urban,2017,340.25
4232,Uttar Pradesh,3,15,0,1,42119,Urban,2017,246.03
4233,Gujarat,9,8,0,1,87104,Rural,2023,305.2
4234,Delhi,9,16,2,0,112822,Urban,2022,849.21
4235,Delhi,4,27,2,0,51958,Rural,2019,725.5
4236,Delhi,3,14,1,0,149951,Urban,2021,365.71
4237,Delhi,7,18,1,1,91604,Rural,2018,550.33
4238,Karnataka,7,22,0,0,129675,Rural,2022,493.66
4239,Punjab,4,10,0,1,138793,Rural,2019,197.3
4240,Maharashtra,5,9,1,1,58846,Urban,2017,212.64
4241,Gujarat,7,6,2,0,67799,Rural,2015,537.38
4242,Karnataka,4,29,2,0,69709,Rural,2017,776.54
4243,Delhi,7,17,2,0,93185,Rural,2017,657.17
4244,West Bengal,6,27,0,0,125583,Urban,2019,514.24
4245,Punjab,7,18,1,1,69448,Urban,2019,481.71
4246,Maharashtra,2,7,1,0,60868,Rural,2021,413.32
4247,West Bengal,4,27,1,1,69240,Urban,2017,467.26
4248,Uttar Pradesh,8,15,2,0,108330,Urban,2022,827.21
4249,West Bengal,9,26,1,0,56083,Urban,2016,775.94
4250,Uttar Pradesh,3,27,1,0,130679,Urban,2023,586.38
4251,Uttar Pradesh,4,8,2,0,122962,Urban,2016,512.62
4252,Delhi,5,17,0,0,56789,Urban,2020,293.5
4253,Uttar Pradesh,7,12,0,0,119625,Urban,2022,332.05
4254,Tamil Nadu,4,12,2,0,85665,Urban,2016,555.15
4255,Gujarat,6,27,1,0,28474,Rural,2015,612.71
4256,Gujarat,4,17,0,0,67781,Urban,2020,342.06
4257,Delhi,6,27,0,0,64761,Urban,2019,468.83
4258,Tamil Nadu,9,14,0,0,83210,Rural,2018,433.98
4259,West Bengal,9,17,2,0,67186,Rural,2022,745.96
4260,Karnataka,7,17,0,0,126969,Urban,2020,375.55
4261,West Bengal,3,28,1,0,48486,Urban,2019,640.01
4262,Punjab,7,21,2,0,56050,Rural,2019,661.69
4263,Karnataka,5,10,2,0,80772,Urban,2021,525.99
4264,Uttar Pradesh,2,6,0,0,70321,Rural,2022,178.58
4265,Maharashtra,3,21,1,0,141123,Urban,2016,644.86
4266,Karnataka,3,16,2,0,59688,Rural,2022,618.65
4267,Maharashtra,9,27,0,0,135677,Urban,2018,642.96
4268,Gujarat,2,10,1,0,53199,Urban,2021,389.37
4269,Maharashtra,4,9,1,1,82805,Urban,2015,328.6
4270,Gujarat,7,9,2,0,90241,Rural,2019,646.81
4271,Tamil Nadu,4,29,0,0,137829,Urban,2015,504.29
4272,Tamil Nadu,4,13,1,0,63721,Rural,2020,387.83
4273,Delhi,7,26,2,0,130943,Urban,2022,781.87
4274,Delhi,5,7,2,0,120729,Rural,2019,536.85
4275,Uttar Pradesh,3,27,2,0,46645,Urban,2018,692.09
4276,Karnataka,6,24,2,0,143438,Urban,2023,778.99
4277,Uttar Pradesh,2,9,2,0,61962,Rural,2017,408.26
4278,Gujarat,3,11,1,0,122839,Urban,2019,419.44
4279,Uttar Pradesh,4,16,2,0,38616,Rural,2018,515.02
4280,Maharashtra,2,11,0,0,122162,Urban,2019,210.81
4281,Gujarat,6,14,0,0,83744,Urban,2020,436.04
4282,Delhi,3,12,1,0,58987,Urban,2017,476.92
4283,Tamil Nadu,3,21,2,0,68082,Rural,2016,584.55
4284,Delhi,5,9,2,0,101182,Urban,2022,551.5
4285,Karnataka,3,19,1,0,27450,Urban,2019,504.85
4286,Gujarat,3,13,2,0,26660,Urban,2015,540.5
4287,Gujarat,6,27,2,0,108620,Rural,2018,848.25
4288,Maharashtra,6,15,0,0,97944,Urban,2019,383.29
4289,Karnataka,2,17,2,0,117318,Urban,2020,525.9
4290,Tamil Nadu,4,22,1,0,125048,Rural,2019,514.47
4291,West Bengal,6,21,0,0,83597,Rural,2019,430.41
4292,Gujarat,2,28,1,0,97790,Urban,2023,479.28
4293,Gujarat,3,13,1,0,50059,Rural,2023,369.8
4294,Maharashtra,9,14,2,0,146763,Urban,2020,730.5
4295,Uttar Pradesh,2,9,2,0,137093,Rural,2018,396.87
4296,Punjab,9,15,0,0,133790,Urban,2023,487.44
4297,Tamil Nadu,2,26,1,0,57099,Urban,2022,637.21
4298,Delhi,2,19,1,1,52335,Rural,2021,302.54
4299,Karnataka,9,6,2,0,32998,Rural,2019,678.13
4300,Gujarat,7,25,1,0,142511,Urban,2016,683.15
4301,Gujarat,2,24,1,0,91378,Urban,2016,523.59
4302,Delhi,9,28,1,0,128190,Urban,2015,748.08
4303,Tamil Nadu,6,28,1,0,140122,Rural,2016,616.35
4304,Punjab,8,18,1,0,20288,Rural,2019,594.57
4305,Uttar Pradesh,8,9,0,0,45876,Rural,2021,193.41
4306,Gujarat,8,28,1,0,29023,Urban,2020,706.85
4307,Punjab,8,10,1,0,116321,Urban,2015,552.98
4308,Tamil Nadu,7,26,0,0,81440,Urban,2023,385.06
4309,Delhi,4,19,2,1,97409,Rural,2023,431.21
4310,Maharashtra,9,8,2,0,107665,Urban,2019,752.75
4311,Uttar Pradesh,2,14,0,0,18854,Urban,2019,148.29
4312,Karnataka,5,23,0,0,95532,Urban,2018,427.25
4313,Gujarat,8,13,2,1,47687,Urban,2019,588.19
4314,Tamil Nadu,3,25,1,0,146975,Urban,2023,440.5
4315,Maharashtra,8,14,1,1,93957,Urban,2020,548.29
4316,Karnataka,8,8,0,0,58981,Urban,2016,319.99
4317,West Bengal,3,26,1,0,82635,Urban,2016,645.14
4318,Tamil Nadu,7,8,0,0,118836,Rural,2020,274.41
4319,Tamil Nadu,3,10,2,0,112438,Urban,2017,511.97
4320,Karnataka,3,12,1,0,124911,Urban,2023,428.31
4321,Maharashtra,7,20,2,0,18134,Urban,2017,629.42
4322,West Bengal,3,12,1,1,34607,Urban,2020,284.72
4323,Punjab,2,20,1,0,94023,Urban,2017,432.85
4324,Punjab,8,10,1,1,59834,Rural,2022,351.33
4325,Delhi,4,21,0,0,127501,Urban,2022,308.34
4326,Maharashtra,7,5,2,0,125775,Urban,2019,597.67
4327,Uttar Pradesh,5,23,0,0,107518,Urban,2017,416.74
4328,Gujarat,7,22,0,0,70240,Urban,2016,445.73
4329,Karnataka,6,21,2,1,143888,Urban,2020,620.01
4330,Delhi,5,21,2,0,16033,Urban,2015,685.86
4331,West Bengal,6,16,0,0,123721,Rural,2015,316.17
4332,Karnataka,9,16,0,1,132244,Urban,2023,424.42
4333,Karnataka,9,10,0,0,141077,Urban,2019,414.84
4334,Maharashtra,7,11,2,1,102887,Urban,2021,529.57
4335,Gujarat,6,12,0,0,20806,Urban,2019,381.27
4336,Uttar Pradesh,5,7,2,0,128913,Urban,2022,515.14
4337,Punjab,2,21,0,0,95950,Urban,2023,336.4
4338,Tamil Nadu,7,25,2,0,147039,Urban,2019,767.18
4339,Tamil Nadu,7,12,0,0,141002,Urban,2023,410.17
4340,Karnataka,3,15,1,0,58853,Urban,2019,327.03
4341,Punjab,7,24,1,0,91719,Urban,2022,697.73
4342,Punjab,8,22,2,0,72318,Urban,2022,792.12
4343,Gujarat,9,20,2,0,101365,Urban,2022,753.89
4344,West Bengal,8,29,1,0,35990,Urban,2018,666.61
4345,West Bengal,7,17,2,0,33782,Urban,2019,612.8
4346,Delhi,9,13,2,0,32931,Urban,2016,704.31
4347,Maharashtra,9,23,1,0,141567,Urban,2016,708.44
4348,Gujarat,2,11,0,0,122174,Urban,2017,151.44
4349,Gujarat,3,21,2,0,99683,Rural,2023,568.75
4350,Maharashtra,4,12,2,0,99396,Urban,2017,545.83
4351,Punjab,6,12,0,0,111151,Rural,2016,265.28
4352,West Bengal,5,7,0,0,63019,Urban,2020,301.56
4353,West Bengal,4,20,2,0,146815,Urban,2018,698.16
4354,Punjab,3,16,2,0,23132,Urban,2020,623.7
4355,West Bengal,8,19,0,0,88662,Urban,2020,509.44
4356,Karnataka,8,25,2,0,30731,Urban,2015,862.71
4357,Gujarat,8,8,0,0,60863,Rural,2016,310.76
4358,Tamil Nadu,2,27,0,0,78238,Rural,2023,333.8
4359,Maharashtra,9,11,2,1,118844,Urban,2016,562.12
4360,West Bengal,8,15,2,0,26240,Urban,2019,728.45
4361,Delhi,5,28,0,0,128052,Rural,2020,512.06
4362,West Bengal,6,9,2,0,25315,Urban,2020,658.55
4363,West Bengal,7,17,0,0,136251,Urban,2022,480.75
4364,Uttar Pradesh,7,15,1,0,85741,Rural,2018,505.31
4365,Karnataka,4,9,1,0,70841,Rural,2019,341.17
4366,Maharashtra,6,12,0,0,82016,Urban,2016,326.77
4367,Uttar Pradesh,3,25,0,0,55549,Urban,2023,345.44
4368,Uttar Pradesh,6,21,2,0,45216,Urban,2022,698.23
4369,Delhi,2,15,0,0,128458,Rural,2021,284.5
4370,Gujarat,4,23,0,0,123059,Rural,2020,313.3
4371,Delhi,4,22,2,0,56181,Urban,2019,633.31
4372,Gujarat,2,14,2,0,137648,Urban,2020,582.09
4373,Gujarat,6,9,1,0,96105,Urban,2016,454.4
4374,Maharashtra,8,28,0,0,73803,Urban,2019,648.95
4375,West Bengal,2,29,0,0,117243,Urban,2017,450.6
4376,Maharashtra,8,29,1,0,19163,Urban,2015,743.3
4377,Karnataka,5,5,0,0,115656,Urban,2017,232.43
4378,Gujarat,2,21,2,0,35505,Urban,2021,548.37
4379,Uttar Pradesh,8,21,0,0,115140,Urban,2015,512.82
4380,West Bengal,6,5,2,0,112379,Urban,2016,562.17
4381,Tamil Nadu,8,29,0,0,129310,Urban,2020,482.93
4382,Karnataka,2,5,1,0,51547,Rural,2021,285.47
4383,Maharashtra,3,27,2,0,137758,Rural,2023,639.17
4384,Delhi,7,26,2,0,104557,Urban,2022,788.69
4385,Karnataka,2,13,1,0,25268,Rural,2022,319.51
4386,Karnataka,7,29,2,0,61031,Urban,2022,850.51
4387,West Bengal,2,8,1,1,96596,Urban,2019,260.07
4388,Karnataka,6,13,0,1,35279,Urban,2021,202.78
4389,Karnataka,5,18,1,1,16259,Urban,2019,366.97
4390,Tamil Nadu,5,19,0,0,51108,Rural,2023,447.55
4391,Punjab,7,20,2,0,139974,Urban,2019,760.57
4392,Delhi,9,20,2,0,61578,Rural,2020,759.2
4393,Delhi,9,17,1,0,16479,Urban,2016,629.46
4394,Delhi,6,18,0,0,78968,Urban,2015,449.96
4395,Gujarat,8,26,1,0,30039,Urban,2022,723.86
4396,Uttar Pradesh,6,25,2,0,133112,Rural,2023,839.57
4397,Punjab,9,13,2,1,135239,Rural,2020,658.03
4398,Delhi,6,27,0,0,51327,Urban,2017,495.87
4399,Karnataka,3,13,0,0,44165,Urban,2023,308.93
4400,Karnataka,4,25,2,0,149801,Urban,2015,772.7
4401,Delhi,9,8,2,0,140100,Urban,2020,588.41
4402,West Bengal,9,14,0,0,39479,Urban,2021,435.08
4403,Delhi,2,7,1,0,131759,Rural,2016,326.97
4404,Karnataka,6,25,1,0,62362,Rural,2019,573.24
4405,Gujarat,6,13,0,0,132826,Urban,2023,340.22
4406,Maharashtra,6,23,0,0,61175,Urban,2017,492.17
4407,Maharashtra,5,20,0,1,113760,Urban,2020,354.08
4408,Punjab,6,20,2,0,141735,Urban,2017,737.62
4409,Punjab,9,21,1,0,79728,Urban,2022,659.53
4410,Delhi,2,22,0,1,92508,Rural,2016,184.85
4411,Tamil Nadu,8,14,1,0,111445,Rural,2018,500.75
4412,Delhi,8,25,2,1,120160,Urban,2022,803.94
4413,West Bengal,6,23,2,1,61280,Urban,2021,679.29
4414,Delhi,2,26,0,1,138913,Urban,2017,208.6
4415,Punjab,3,19,0,1,101952,Rural,2019,90.16
4416,Maharashtra,8,19,0,0,60547,Rural,2016,406.83
4417,Karnataka,9,15,0,0,125846,Urban,2022,381.02
4418,Delhi,4,12,1,0,100414,Urban,2015,457.53
4419,Karnataka,5,26,0,0,111447,Urban,2019,461.87
4420,Karnataka,2,20,1,0,105125,Urban,2016,439.8
4421,Tamil Nadu,8,14,2,0,52804,Urban,2016,698.15
4422,Karnataka,8,13,2,0,114184,Urban,2015,735.99
4423,Maharashtra,7,19,1,0,20502,Rural,2023,615.07
4424,Gujarat,3,26,1,0,100360,Urban,2019,544.09
4425,Gujarat,4,9,0,0,85478,Urban,2017,270.03
4426,Uttar Pradesh,4,24,0,1,54809,Rural,2021,372.27
4427,West Bengal,4,6,0,0,94091,Urban,2021,245.41
4428,Delhi,9,26,2,0,29236,Rural,2022,843.24
4429,West Bengal,2,20,1,1,110387,Urban,2015,410.88
4430,Maharashtra,3,22,1,0,125590,Rural,2021,464.96
4431,Karnataka,6,20,1,0,112286,Urban,2017,691.93
4432,Gujarat,7,9,1,0,94387,Rural,2023,490.07
4433,West Bengal,3,5,0,0,56941,Urban,2016,117.96
4434,Maharashtra,3,23,0,0,37245,Urban,2018,343.62
4435,Gujarat,8,14,1,0,70813,Urban,2016,547.56
4436,Karnataka,3,25,0,0,35345,Urban,2018,451.54
4437,West Bengal,2,17,2,0,29711,Urban,2019,529.76
4438,Gujarat,7,27,0,0,36770,Rural,2017,462.67
4439,Delhi,2,28,2,0,35929,Urban,2022,629.59
4440,Punjab,7,27,2,0,22199,Rural,2018,764.12
4441,Delhi,7,27,1,1,96058,Urban,2017,537.7
4442,Uttar Pradesh,8,15,1,0,134682,Urban,2023,666.97
4443,Uttar Pradesh,2,19,0,1,22380,Urban,2018,194.94
4444,Gujarat,7,6,1,0,20039,Urban,2016,551.88
4445,Punjab,3,10,2,0,21223,Urban,2019,528.2
4446,Maharashtra,2,25,2,0,128558,Rural,2023,645.51
4447,Delhi,7,15,0,0,105464,Urban,2023,321.29
4448,Maharashtra,9,19,2,0,56318,Urban,2016,806.3
4449,Punjab,4,13,1,0,77934,Urban,2015,357.12
4450,Maharashtra,2,16,0,0,134560,Urban,2021,214.01
4451,Punjab,8,8,0,0,30682,Urban,2016,385.57
4452,Gujarat,9,27,0,0,138055,Urban,2020,646.46
4453,Maharashtra,9,28,1,0,117205,Urban,2017,757.12
4454,Delhi,5,18,2,0,141789,Rural,2018,655.62
4455,Karnataka,2,26,1,1,93413,Rural,2018,287.18
4456,Uttar Pradesh,9,7,0,0,98202,Rural,2017,263.54
4457,Karnataka,2,25,2,0,108701,Urban,2021,614.16
4458,Maharashtra,2,21,0,0,143976,Urban,2020,380.29
4459,Karnataka,7,17,1,0,62523,Rural,2022,486.76
4460,Delhi,2,12,0,0,127725,Rural,2019,80.87
4461,Delhi,5,16,1,1,43803,Urban,2015,462.29
4462,Maharashtra,6,16,0,0,44407,Urban,2019,391.19
4463,Gujarat,2,16,0,1,80392,Rural,2021,158.99
4464,Karnataka,4,6,0,0,82577,Urban,2020,180.12
4465,Gujarat,5,14,1,0,77829,Urban,2016,439.52
4466,Gujarat,6,27,1,1,36878,Urban,2016,541.34
4467,Punjab,7,13,1,0,75149,Rural,2021,446.82
4468,Tamil Nadu,2,5,1,0,96113,Urban,2015,171.55
4469,Maharashtra,6,8,1,0,79157,Urban,2015,415.65
4470,Uttar Pradesh,4,27,2,0,15810,Urban,2016,686.21
4471,Delhi,5,18,0,0,54582,Rural,2016,222.94
4472,Delhi,5,20,1,0,134602,Urban,2023,522.43
4473,Maharashtra,7,29,2,0,26557,Urban,2015,782.53
4474,Punjab,7,22,2,0,113251,Urban,2019,752.4
4475,West Bengal,7,6,0,0,103722,Rural,2019,241.47
4476,West Bengal,6,10,0,0,66862,Urban,2020,314.61
4477,West Bengal,2,7,0,0,131145,Urban,2018,114.16
4478,Punjab,3,24,1,1,67397,Urban,2017,456.76
4479,Uttar Pradesh,9,23,0,0,74176,Rural,2023,498.77
4480,Delhi,5,17,0,0,141542,Urban,2023,338.47
4481,Maharashtra,3,21,0,0,120740,Urban,2022,326.68
4482,Punjab,8,18,2,0,80431,Urban,2015,804.68
4483,Delhi,5,26,1,0,100478,Urban,2016,673.94
4484,Gujarat,9,15,0,0,120061,Rural,2017,380.76
4485,Karnataka,7,20,2,1,33333,Urban,2016,681.23
4486,Karnataka,9,15,1,0,115907,Urban,2022,577.18
4487,Punjab,2,22,0,1,62630,Urban,2020,246.62
4488,Delhi,2,6,2,0,61595,Urban,2022,432.13
4489,Tamil Nadu,5,27,1,0,18831,Rural,2018,459.81
4490,Uttar Pradesh,6,25,0,0,30923,Urban,2021,517.48
4491,West Bengal,8,12,0,0,123391,Urban,2023,448.3
4492,Uttar Pradesh,9,18,2,0,41170,Urban,2018,824.93
4493,Uttar Pradesh,7,6,0,0,46892,Urban,2016,323.6
4494,Punjab,2,17,2,0,40884,Rural,2020,595.7
4495,Gujarat,8,14,2,0,128565,Urban,2018,821.02
4496,Uttar Pradesh,8,12,2,0,76048,Urban,2019,680.2
4497,Karnataka,2,11,1,0,115905,Urban,2015,404.27
4498,Gujarat,4,17,2,0,27252,Rural,2016,618.26
4499,Maharashtra,9,28,1,1,135649,Urban,2022,723.65
4500,Uttar Pradesh,8,23,0,0,68937,Rural,2021,458.2
4501,Uttar Pradesh,2,28,1,0,117997,Rural,2019,417.47
4502,Maharashtra,4,19,2,1,142213,Urban,2015,533.97
4503,Uttar Pradesh,2,26,0,0,144468,Urban,2016,400.27
4504,Maharashtra,2,6,2,0,111281,Rural,2019,402.19
4505,Gujarat,8,26,2,0,125826,Urban,2022,775.55
4506,Karnataka,6,9,0,1,137918,Urban,2015,269.16
4507,Maharashtra,6,23,2,0,113114,Rural,2023,635.41
4508,Tamil Nadu,7,5,1,0,99011,Rural,2016,384.99
4509,Punjab,9,11,0,0,68607,Urban,2021,395.67
4510,Punjab,2,22,0,0,16087,Urban,2018,333.86
4511,Maharashtra,9,5,0,0,63038,Urban,2017,360.89
4512,Punjab,7,5,2,0,65060,Urban,2018,638.73
4513,Uttar Pradesh,7,11,2,0,33715,Urban,2019,720.47
4514,West Bengal,7,21,0,0,138674,Rural,2015,419.17
